Winter period;;;;;Summer period;;;
Time from;Time to;Heat Demand;Electricity Price;;Time from;Time to;Heat Demand;Electricity Price
DKK local time;DKK local time;MWh;DKK / Mwh(el);;DKK local time;DKK local time;MWh;DKK / Mwh(el)
02-08-2023 00:00;02-08-2023 01:00;6.62;1190.94;;07-08-2023 00:00;07-08-2023 01:00;1.79;752.03
02-08-2023 01:00;02-08-2023 02:00;6.85;1154.55;;07-08-2023 01:00;07-08-2023 02:00;1.85;691.05
02-08-2023 02:00;02-08-2023 03:00;6.98;1116.22;;07-08-2023 02:00;07-08-2023 03:00;1.76;674.78
02-08-2023 03:00;02-08-2023 04:00;7.04;1101.12;;07-08-2023 03:00;07-08-2023 04:00;1.67;652.95
02-08-2023 04:00;02-08-2023 05:00;7.72;1086.24;;07-08-2023 04:00;07-08-2023 05:00;1.73;666.30
02-08-2023 05:00;02-08-2023 06:00;7.85;1109.53;;07-08-2023 05:00;07-08-2023 06:00;1.79;654.60
02-08-2023 06:00;02-08-2023 07:00;8.15;1307.40;;07-08-2023 06:00;07-08-2023 07:00;1.82;637.05
02-08-2023 07:00;02-08-2023 08:00;7.62;1463.30;;07-08-2023 07:00;07-08-2023 08:00;1.81;639.45
02-08-2023 08:00;02-08-2023 09:00;7.55;1608.78;;07-08-2023 08:00;07-08-2023 09:00;1.84;628.28
02-08-2023 09:00;02-08-2023 10:00;7.60;1309.70;;07-08-2023 09:00;07-08-2023 10:00;1.88;570.30
02-08-2023 10:00;02-08-2023 11:00;7.75;952.51;;07-08-2023 10:00;07-08-2023 11:00;2.00;456.75
02-08-2023 11:00;02-08-2023 12:00;7.06;882.93;;07-08-2023 11:00;07-08-2023 12:00;1.86;347.40
02-08-2023 12:00;02-08-2023 13:00;6.68;860.31;;07-08-2023 12:00;07-08-2023 13:00;1.78;264.15
02-08-2023 13:00;02-08-2023 14:00;6.73;854.88;;07-08-2023 13:00;07-08-2023 14:00;1.60;125.33
02-08-2023 14:00;02-08-2023 15:00;6.84;850.12;;07-08-2023 14:00;07-08-2023 15:00;1.57;125.48
02-08-2023 15:00;02-08-2023 16:00;7.30;933.09;;07-08-2023 15:00;07-08-2023 16:00;1.55;300.00
02-08-2023 16:00;02-08-2023 17:00;7.39;953.26;;07-08-2023 16:00;07-08-2023 17:00;1.57;456.75
02-08-2023 17:00;02-08-2023 18:00;7.68;951.10;;07-08-2023 17:00;07-08-2023 18:00;1.53;625.50
02-08-2023 18:00;02-08-2023 19:00;7.38;765.21;;07-08-2023 18:00;07-08-2023 19:00;1.52;804.75
02-08-2023 19:00;02-08-2023 20:00;7.40;716.47;;07-08-2023 19:00;07-08-2023 20:00;1.50;907.50
02-08-2023 20:00;02-08-2023 21:00;7.56;696.30;;07-08-2023 20:00;07-08-2023 21:00;1.50;965.70
02-08-2023 21:00;02-08-2023 22:00;7.69;665.34;;07-08-2023 21:00;07-08-2023 22:00;1.48;996.45
02-08-2023 22:00;02-08-2023 23:00;7.66;663.56;;07-08-2023 22:00;07-08-2023 23:00;1.51;972.90
02-08-2023 23:00;02-09-2023 00:00;7.54;636.77;;07-08-2023 23:00;07-09-2023 00:00;1.55;869.40
02-09-2023 00:00;02-09-2023 01:00;7.58;615.31;;07-09-2023 00:00;07-09-2023 01:00;1.54;820.80
02-09-2023 01:00;02-09-2023 02:00;7.68;588.89;;07-09-2023 01:00;07-09-2023 02:00;1.47;763.05
02-09-2023 02:00;02-09-2023 03:00;7.71;577.88;;07-09-2023 02:00;07-09-2023 03:00;1.41;763.65
02-09-2023 03:00;02-09-2023 04:00;7.70;577.66;;07-09-2023 03:00;07-09-2023 04:00;1.43;715.80
02-09-2023 04:00;02-09-2023 05:00;8.16;583.16;;07-09-2023 04:00;07-09-2023 05:00;1.43;718.43
02-09-2023 05:00;02-09-2023 06:00;8.45;617.99;;07-09-2023 05:00;07-09-2023 06:00;1.45;726.90
02-09-2023 06:00;02-09-2023 07:00;8.51;629.23;;07-09-2023 06:00;07-09-2023 07:00;1.47;710.10
02-09-2023 07:00;02-09-2023 08:00;7.79;689.06;;07-09-2023 07:00;07-09-2023 08:00;1.50;684.00
02-09-2023 08:00;02-09-2023 09:00;7.64;769.66;;07-09-2023 08:00;07-09-2023 09:00;1.62;646.80
02-09-2023 09:00;02-09-2023 10:00;7.71;802.85;;07-09-2023 09:00;07-09-2023 10:00;1.70;578.33
02-09-2023 10:00;02-09-2023 11:00;7.64;781.42;;07-09-2023 10:00;07-09-2023 11:00;1.74;450.90
02-09-2023 11:00;02-09-2023 12:00;6.99;716.90;;07-09-2023 11:00;07-09-2023 12:00;1.68;375.90
02-09-2023 12:00;02-09-2023 13:00;6.39;692.56;;07-09-2023 12:00;07-09-2023 13:00;1.58;342.68
02-09-2023 13:00;02-09-2023 14:00;6.22;678.35;;07-09-2023 13:00;07-09-2023 14:00;1.45;277.43
02-09-2023 14:00;02-09-2023 15:00;6.28;647.02;;07-09-2023 14:00;07-09-2023 15:00;1.43;336.38
02-09-2023 15:00;02-09-2023 16:00;6.78;645.53;;07-09-2023 15:00;07-09-2023 16:00;1.42;413.63
02-09-2023 16:00;02-09-2023 17:00;7.01;650.07;;07-09-2023 16:00;07-09-2023 17:00;1.47;547.35
02-09-2023 17:00;02-09-2023 18:00;7.18;647.16;;07-09-2023 17:00;07-09-2023 18:00;1.46;618.00
02-09-2023 18:00;02-09-2023 19:00;6.65;649.70;;07-09-2023 18:00;07-09-2023 19:00;1.50;783.08
02-09-2023 19:00;02-09-2023 20:00;6.72;638.53;;07-09-2023 19:00;07-09-2023 20:00;1.50;916.58
02-09-2023 20:00;02-09-2023 21:00;6.86;625.29;;07-09-2023 20:00;07-09-2023 21:00;1.44;990.00
02-09-2023 21:00;02-09-2023 22:00;6.83;621.34;;07-09-2023 21:00;07-09-2023 22:00;1.45;1005.75
02-09-2023 22:00;02-09-2023 23:00;6.86;624.62;;07-09-2023 22:00;07-09-2023 23:00;1.44;990.90
