timeFrom; TimeTo; HeatDemand;  ElectricityPrice; GB; OB; EB; GM;
07-08-2023 00:00;07-08-2023 01:00;1.79;752.03;1.79;0;0;0;
07-08-2023 01:00;07-08-2023 02:00;1.85;691.05;1.85;0;0;0;
07-08-2023 02:00;07-08-2023 03:00;1.76;674.78;1.76;0;0;0;
07-08-2023 03:00;07-08-2023 04:00;1.67;652.95;1.67;0;0;0;
07-08-2023 04:00;07-08-2023 05:00;1.73;666.30;1.73;0;0;0;
07-08-2023 05:00;07-08-2023 06:00;1.79;654.60;1.79;0;0;0;
07-08-2023 06:00;07-08-2023 07:00;1.82;637.05;1.82;0;0;0;
07-08-2023 07:00;07-08-2023 08:00;1.81;639.45;1.81;0;0;0;
07-08-2023 08:00;07-08-2023 09:00;1.84;628.28;1.84;0;0;0;
07-08-2023 09:00;07-08-2023 10:00;1.88;570.30;1.88;0;0;0;
07-08-2023 10:00;07-08-2023 11:00;2.00;456.75;0;0;2;0;
07-08-2023 11:00;07-08-2023 12:00;1.86;347.40;0;0;1.86;0;
07-08-2023 12:00;07-08-2023 13:00;1.78;264.15;0;0;1.78;0;
07-08-2023 13:00;07-08-2023 14:00;1.60;125.33;0;0;1.6;0;
07-08-2023 14:00;07-08-2023 15:00;1.57;125.48;0;0;1.57;0;
07-08-2023 15:00;07-08-2023 16:00;1.55;300.00;0;0;1.55;0;
07-08-2023 16:00;07-08-2023 17:00;1.57;456.75;0;0;1.57;0;
07-08-2023 17:00;07-08-2023 18:00;1.53;625.50;1.53;0;0;0;
07-08-2023 18:00;07-08-2023 19:00;1.52;804.75;1.52;0;0;0;
07-08-2023 19:00;07-08-2023 20:00;1.50;907.50;1.5;0;0;0;
07-08-2023 20:00;07-08-2023 21:00;1.50;965.70;1.5;0;0;0;
07-08-2023 21:00;07-08-2023 22:00;1.48;996.45;1.48;0;0;0;
07-08-2023 22:00;07-08-2023 23:00;1.51;972.90;1.51;0;0;0;
07-08-2023 23:00;07-09-2023 00:00;1.55;869.40;1.55;0;0;0;
07-09-2023 00:00;07-09-2023 01:00;1.54;820.80;1.54;0;0;0;
07-09-2023 01:00;07-09-2023 02:00;1.47;763.05;1.47;0;0;0;
07-09-2023 02:00;07-09-2023 03:00;1.41;763.65;1.41;0;0;0;
07-09-2023 03:00;07-09-2023 04:00;1.43;715.80;1.43;0;0;0;
07-09-2023 04:00;07-09-2023 05:00;1.43;718.43;1.43;0;0;0;
07-09-2023 05:00;07-09-2023 06:00;1.45;726.90;1.45;0;0;0;
07-09-2023 06:00;07-09-2023 07:00;1.47;710.10;1.47;0;0;0;
07-09-2023 07:00;07-09-2023 08:00;1.50;684.00;1.5;0;0;0;
07-09-2023 08:00;07-09-2023 09:00;1.62;646.80;1.62;0;0;0;
07-09-2023 09:00;07-09-2023 10:00;1.70;578.33;1.7;0;0;0;
07-09-2023 10:00;07-09-2023 11:00;1.74;450.90;0;0;1.74;0;
07-09-2023 11:00;07-09-2023 12:00;1.68;375.90;0;0;1.68;0;
07-09-2023 12:00;07-09-2023 13:00;1.58;342.68;0;0;1.58;0;
07-09-2023 13:00;07-09-2023 14:00;1.45;277.43;0;0;1.45;0;
07-09-2023 14:00;07-09-2023 15:00;1.43;336.38;0;0;1.43;0;
07-09-2023 15:00;07-09-2023 16:00;1.42;413.63;0;0;1.42;0;
07-09-2023 16:00;07-09-2023 17:00;1.47;547.35;1.47;0;0;0;
07-09-2023 17:00;07-09-2023 18:00;1.46;618.00;1.46;0;0;0;
07-09-2023 18:00;07-09-2023 19:00;1.50;783.08;1.5;0;0;0;
07-09-2023 19:00;07-09-2023 20:00;1.50;916.58;1.5;0;0;0;
