timeFrom; TimeTo; HeatDemand;  ElectricityPrice; GB; OB; EB; GM;
02-08-2023 00:00;02-08-2023 01:00;6.62;1190.94;5;1.62;0;0;
02-08-2023 01:00;02-08-2023 02:00;6.85;1154.55;5;1.85;0;0;
02-08-2023 02:00;02-08-2023 03:00;6.98;1116.22;0;0;6.98;0;
02-08-2023 03:00;02-08-2023 04:00;7.04;1101.12;0;0;7.04;0;
02-08-2023 04:00;02-08-2023 05:00;7.72;1086.24;0;0;7.72;0;
02-08-2023 05:00;02-08-2023 06:00;7.85;1109.53;0;0;7.85;0;
02-08-2023 06:00;02-08-2023 07:00;8.15;1307.40;5;3.15;0;0;
02-08-2023 07:00;02-08-2023 08:00;7.62;1463.30;5;2.62;0;0;
02-08-2023 08:00;02-08-2023 09:00;7.55;1608.78;5;2.55;0;0;
02-08-2023 09:00;02-08-2023 10:00;7.60;1309.70;5;2.60;0;0;
02-08-2023 10:00;02-08-2023 11:00;7.75;952.51;0;0;7.75;0;
02-08-2023 11:00;02-08-2023 12:00;7.06;882.93;0;0;7.06;0;
02-08-2023 12:00;02-08-2023 13:00;6.68;860.31;0;0;6.68;0;
02-08-2023 13:00;02-08-2023 14:00;6.73;854.88;0;0;6.73;0;
02-08-2023 14:00;02-08-2023 15:00;6.84;850.12;0;0;6.84;0;
02-08-2023 15:00;02-08-2023 16:00;7.30;933.09;0;0;7.3;0;
02-08-2023 16:00;02-08-2023 17:00;7.39;953.26;0;0;7.39;0;
02-08-2023 17:00;02-08-2023 18:00;7.68;951.10;0;0;7.68;0;
02-08-2023 18:00;02-08-2023 19:00;7.38;765.21;0;0;7.38;0;
02-08-2023 19:00;02-08-2023 20:00;7.40;716.47;0;0;7.4;0;
02-08-2023 20:00;02-08-2023 21:00;7.56;696.30;0;0;7.56;0;
02-08-2023 21:00;02-08-2023 22:00;7.69;665.34;0;0;7.69;0;
02-08-2023 22:00;02-08-2023 23:00;7.66;663.56;0;0;7.66;0;
02-08-2023 23:00;02-09-2023 00:00;7.54;636.77;0;0;7.54;0;
02-09-2023 00:00;02-09-2023 01:00;7.58;615.31;0;0;7.58;0;
02-09-2023 01:00;02-09-2023 02:00;7.68;588.89;0;0;7.68;0;
02-09-2023 02:00;02-09-2023 03:00;7.71;577.88;0;0;7.71;0;
02-09-2023 03:00;02-09-2023 04:00;7.70;577.66;0;0;7.7;0;
02-09-2023 04:00;02-09-2023 05:00;8.16;583.16;0.16;0;8;0;
02-09-2023 05:00;02-09-2023 06:00;8.45;617.99;0.45;0;8;0;
