Time from;Time to;Heat Demand;GB;OB;
07-08-2023 00:00;07-08-2023 01:00;1.79;1.79;0.00;
07-08-2023 01:00;07-08-2023 02:00;1.85;1.85;0.00;
07-08-2023 02:00;07-08-2023 03:00;1.76;1.76;0.00;
07-08-2023 03:00;07-08-2023 04:00;1.67;1.67;0.00;
07-08-2023 04:00;07-08-2023 05:00;1.73;1.73;0.00;
07-08-2023 05:00;07-08-2023 06:00;1.79;1.79;0.00;
07-08-2023 06:00;07-08-2023 07:00;1.82;1.82;0.00;
07-08-2023 07:00;07-08-2023 08:00;1.81;1.81;0.00;
07-08-2023 08:00;07-08-2023 09:00;1.84;1.84;0.00;
07-08-2023 09:00;07-08-2023 10:00;1.88;1.88;0.00;
07-08-2023 10:00;07-08-2023 11:00;2.00;2.00;0.00;
07-08-2023 11:00;07-08-2023 12:00;1.86;1.86;0.00;
07-08-2023 12:00;07-08-2023 13:00;1.78;1.78;0.00;
07-08-2023 13:00;07-08-2023 14:00;1.60;1.60;0.00;
07-08-2023 14:00;07-08-2023 15:00;1.57;1.57;0.00;
07-08-2023 15:00;07-08-2023 16:00;1.55;1.55;0.00;
07-08-2023 16:00;07-08-2023 17:00;1.57;1.57;0.00;
07-08-2023 17:00;07-08-2023 18:00;1.53;1.53;0.00;
07-08-2023 18:00;07-08-2023 19:00;1.52;1.52;0.00;
07-08-2023 19:00;07-08-2023 20:00;1.50;1.50;0.00;
07-08-2023 20:00;07-08-2023 21:00;1.50;1.50;0.00;
07-08-2023 21:00;07-08-2023 22:00;1.48;1.48;0.00;
07-08-2023 22:00;07-08-2023 23:00;1.51;1.51;0.00;
07-08-2023 23:00;07-09-2023 00:00;1.55;1.55;0.00;
07-09-2023 00:00;07-09-2023 01:00;1.54;1.54;0.00;
07-09-2023 01:00;07-09-2023 02:00;1.47;1.47;0.00;
07-09-2023 02:00;07-09-2023 03:00;1.41;1.41;0.00;
07-09-2023 03:00;07-09-2023 04:00;1.43;1.43;0.00;
07-09-2023 04:00;07-09-2023 05:00;1.43;1.43;0.00;
07-09-2023 05:00;07-09-2023 06:00;1.45;1.45;0.00;
07-09-2023 06:00;07-09-2023 07:00;1.47;1.47;0.00;
07-09-2023 07:00;07-09-2023 08:00;1.50;1.50;0.00;
07-09-2023 08:00;07-09-2023 09:00;1.62;1.62;0.00;
07-09-2023 09:00;07-09-2023 10:00;1.70;1.70;0.00;
07-09-2023 10:00;07-09-2023 11:00;1.74;1.74;0.00;
07-09-2023 11:00;07-09-2023 12:00;1.68;1.68;0.00;
07-09-2023 12:00;07-09-2023 13:00;1.58;1.58;0.00;
07-09-2023 13:00;07-09-2023 14:00;1.45;1.45;0.00;
07-09-2023 14:00;07-09-2023 15:00;1.43;1.43;0.00;
07-09-2023 15:00;07-09-2023 16:00;1.42;1.42;0.00;
07-09-2023 16:00;07-09-2023 17:00;1.47;1.47;0.00;
07-09-2023 17:00;07-09-2023 18:00;1.46;1.46;0.00;
07-09-2023 18:00;07-09-2023 19:00;1.50;1.50;0.00;
07-09-2023 19:00;07-09-2023 20:00;1.50;1.50;0.00;
07-09-2023 20:00;07-09-2023 21:00;1.44;1.44;0.00;
07-09-2023 21:00;07-09-2023 22:00;1.45;1.45;0.00;
07-09-2023 22:00;07-09-2023 23:00;1.44;1.44;0.00;
07-09-2023 23:00;07-10-2023 00:00;1.47;1.47;0.00;
07-10-2023 00:00;07-10-2023 01:00;1.40;1.40;0.00;
07-10-2023 01:00;07-10-2023 02:00;1.32;1.32;0.00;
07-10-2023 02:00;07-10-2023 03:00;1.28;1.28;0.00;
07-10-2023 03:00;07-10-2023 04:00;1.33;1.33;0.00;
07-10-2023 04:00;07-10-2023 05:00;1.35;1.35;0.00;
07-10-2023 05:00;07-10-2023 06:00;1.35;1.35;0.00;
07-10-2023 06:00;07-10-2023 07:00;1.42;1.42;0.00;
07-10-2023 07:00;07-10-2023 08:00;1.49;1.49;0.00;
07-10-2023 08:00;07-10-2023 09:00;1.55;1.55;0.00;
07-10-2023 09:00;07-10-2023 10:00;1.58;1.58;0.00;
07-10-2023 10:00;07-10-2023 11:00;1.68;1.68;0.00;
07-10-2023 11:00;07-10-2023 12:00;1.73;1.73;0.00;
07-10-2023 12:00;07-10-2023 13:00;1.68;1.68;0.00;
07-10-2023 13:00;07-10-2023 14:00;1.62;1.62;0.00;
07-10-2023 14:00;07-10-2023 15:00;1.51;1.51;0.00;
07-10-2023 15:00;07-10-2023 16:00;1.53;1.53;0.00;
07-10-2023 16:00;07-10-2023 17:00;1.46;1.46;0.00;
07-10-2023 17:00;07-10-2023 18:00;1.51;1.51;0.00;
07-10-2023 18:00;07-10-2023 19:00;1.55;1.55;0.00;
